"image","mean","sd","n"
"fruitDesserts01",3.94117647058824,0.826936230559385,17
"fruitDesserts02",3.58823529411765,1.06412073618386,17
"fruitDesserts03",4.47058823529412,0.624264272846798,17
"fruitDesserts04",4.64705882352941,0.606339062590833,17
"fruitDesserts05",3.6875,1.07819293264239,17
"fruitDesserts06",3.11764705882353,1.0537049480984,17
"fruitDesserts07",4.41176470588235,0.712287119900726,17
"fruitDesserts08",3.88235294117647,1.21872643265298,17
"fruitDesserts09",3.88235294117647,0.992619825334483,17
"fruitDesserts10",3.82352941176471,0.88284300116492,17
"fruitDesserts11",3.35294117647059,0.996316746232607,17
"fruitDesserts12",3.05882352941176,1.39061983640813,17
"fruitDesserts13",4.41176470588235,1.00366973710303,17
"fruitDesserts14",3.82352941176471,1.33394593769983,17
"fruitDesserts15",4.29411764705882,0.77174363314129,17
"fruitDesserts16",4.47058823529412,0.943242218283799,17
"fruitDesserts17",4.23529411764706,0.970142500145332,17
"fruitDesserts18",3.41176470588235,1.1213175023946,17
"fruitDesserts19",3.29411764705882,1.159994928995,17
"fruitDesserts20",4.17647058823529,0.808957208204416,17
"fruitDesserts21",3.76470588235294,1.20049009599756,17
"fruitDesserts22",3.82352941176471,1.23669388480168,17
"fruitDesserts23",3.23529411764706,1.34765591698632,17
"fruitDesserts24",3.41176470588235,1.1213175023946,17
"fruitDesserts25",3.94117647058824,0.747545001596402,17
"fruitDesserts26",4.11764705882353,0.857492925712544,17
"fruitDesserts27",3.64705882352941,1.22173935797433,17
"fruitDesserts28",3.29411764705882,1.31171194829281,17
"fruitDesserts29",3.41176470588235,1.32565189291023,17
"fruitDesserts30",3.82352941176471,1.01459931239178,17
"fruitDesserts31",4.58823529411765,0.618346942400842,17
"fruitDesserts32",3.52941176470588,1.12459142907677,17
"fruitDesserts33",4.11764705882353,1.11143786045242,17
"fruitDesserts34",4,0.866025403784439,17
"fruitDesserts35",3.52941176470588,0.799816155346303,17
"fruitDesserts36",3.17647058823529,1.18507880105328,17
"fruitDesserts37",4.11764705882353,1.16631647405284,17
"fruitDesserts38",4.17647058823529,0.882843001164919,17
"fruitDesserts39",3.94117647058824,0.966345450349804,17
"fruitDesserts40",3.94117647058824,1.08803654782905,17
"fruitDesserts41",3.70588235294118,0.919558717697852,17
"fruitDesserts42",3.94117647058824,1.19742370504837,17
"fruitDesserts43",3.82352941176471,1.18507880105328,17
"fruitDesserts44",3.94117647058824,0.899346167730627,17
"fruitDesserts45",3.94117647058824,1.08803654782905,17
"fruitDesserts46",4.05882352941176,1.02899151085505,17
"fruitDesserts47",4.29411764705882,0.685994340570035,17
"fruitDesserts48",3.58823529411765,1.00366973710303,17
"fruitDesserts49",4,0.790569415042095,17
"fruitDesserts50",3.35294117647059,1.27186754767292,17
"fruitDesserts51",3.88235294117647,1.21872643265298,17
"fruitDesserts52",3.94117647058824,1.02899151085505,17
"fruitDesserts53",4.17647058823529,0.808957208204416,17
"fruitDesserts54",4.29411764705882,0.919558717697852,17
"fruitDesserts55",4.47058823529412,0.799816155346303,17
"fruitDesserts56",4.29411764705882,1.04670350878084,17
"fruitDesserts57",3.94117647058824,1.29762225990916,17
"fruitDesserts58",4.29411764705882,0.985184366143778,17
"fruitDesserts59",3.17647058823529,1.28623938856882,17
"fruitDesserts60",4,1.06066017177982,17
